Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT
2024-01-02,183.7313232421875,186.50253778362813,181.99931604152513,185.22579259007347,82488700.0,AAPL,,,,,,,,,,
2024-01-03,182.3555908203125,183.96883642924203,181.5440145919006,182.32590048043423,58414500.0,AAPL,,,,,,,,,,
2024-01-04,180.0396728515625,181.2075332827541,179.02026413555495,180.277195595857,71983600.0,AAPL,,,,,,,,,,
2024-01-05,179.31715393066406,180.88091065327836,178.31754388665928,180.1188384374096,62379700.0,AAPL,,,,,,,,,,
2024-01-08,183.65211486816406,183.69171205497358,179.63386121540748,180.21779135468154,59144500.0,AAPL,,,,,,,,,,
2024-01-09,183.23643493652344,183.24632668227045,180.8512103460259,182.0289774717032,42841800.0,AAPL,,,,,,,,,,
2024-01-10,184.275634765625,184.48346713133998,182.02897021466416,182.45455689524942,46792900.0,AAPL,,,,,,,,,,
2024-01-11,183.6818084716797,185.12680377786887,181.73206228896322,184.6220377994394,49128400.0,AAPL,,,,,,,,,,
2024-01-12,184.00843811035156,184.82001442518902,183.28594792653803,184.14699807850627,40477800.0,AAPL,,,,,,,,,,
2024-01-16,181.74197387695312,182.36548612847807,179.0697224204938,180.28708678689063,65603000.0,AAPL,,,,,,,,,,
2024-01-17,180.80172729492188,181.04915686376333,178.44620806884475,179.40623600410183,47317400.0,AAPL,,,,,,,,,,
2024-01-18,186.69058227539062,187.1953332109462,183.9193677995691,184.17668914088887,78005800.0,AAPL,,,,,,,,,,
2024-01-19,189.59043884277344,189.97642838325277,186.8786203129096,187.38337121910467,68903000.0,AAPL,,,,,,,,,,
2024-01-22,191.89646911621094,193.3216657993532,190.28322355100102,190.32282073770045,60133900.0,AAPL,,,,,,,,,,
2024-01-23,193.17320251464844,193.7373491711095,191.83709192633378,193.01485907067706,42355600.0,AAPL,,,,,,,,,,
2024-01-24,192.50022888183594,194.36090430723632,192.34187031331157,193.4107679979945,53631300.0,AAPL,,,,,,,,,,
2024-01-25,192.17361450195312,194.2520291241628,191.1245154438125,193.21282181305796,54822100.0,AAPL,,,,,,,,,,
2024-01-26,190.4416046142578,192.75754194727924,189.9665440310004,192.2725896171282,44594000.0,AAPL,,,,,,,,,,
2024-01-29,189.75868225097656,190.22385105233468,187.63079398239137,190.03580216218106,47145600.0,AAPL,,,,,,,,,,
2024-01-30,186.10662841796875,189.82797900977772,185.54249682198056,188.97682064057707,55859400.0,AAPL,,,,,,,,,,
2024-01-31,182.50405883789062,185.17631048108575,182.45458500160478,185.11691469411622,55467800.0,AAPL,,,,,,,,,,
2024-02-01,184.93878173828125,185.0278527702626,181.93004443231115,182.09829474891072,64885400.0,AAPL,,,,,,,,,,
2024-02-02,183.93914794921875,185.40392677166545,177.4070012757119,178.01073002917815,102551700.0,AAPL,,,,,,,,,,
2024-02-05,185.75035095214844,187.30421616342255,183.92927263345797,186.2155198305614,69668800.0,AAPL,,,,,,,,,,
2024-02-06,187.3536834716797,187.36357521832525,184.8496972971495,184.93876832266957,43490800.0,AAPL,,,,,,,,,,
2024-02-07,187.46255493164062,189.0856924097343,186.67077723703076,188.67990426473503,53439000.0,AAPL,,,,,,,,,,
2024-02-08,186.38377380371094,187.59121634154823,185.42374576060666,187.44276462432762,40962000.0,AAPL,,,,,,,,,,
2024-02-09,187.14682006835938,188.27653811843788,186.30447993507684,186.9486117161699,45155200.0,AAPL,,,,,,,,,,
2024-02-12,185.46214294433594,186.9684387436886,185.10538907399385,186.72069342042812,41781900.0,AAPL,,,,,,,,,,
2024-02-13,183.37115478515625,184.53061609699293,181.85495475727518,184.0945819491523,56529500.0,AAPL,,,,,,,,,,
2024-02-14,182.4891815185547,183.85674041023526,180.79461213824646,183.64864282656313,54630500.0,AAPL,,,,,,,,,,
2024-02-15,182.20181274414062,182.82613576875198,179.71445525689393,181.8946109768474,65434500.0,AAPL,,,,,,,,,,
2024-02-16,180.66580200195312,183.18290302222294,180.03157456209792,181.76579187183052,49752500.0,AAPL,,,,,,,,,,
2024-02-20,179.92254638671875,180.78469520216953,178.3766181157698,180.15046783149373,53665600.0,AAPL,,,,,,,,,,
2024-02-21,180.67572021484375,181.24057170015067,179.03068760645021,180.29914247718926,41371400.0,AAPL,,,,,,,,,,
2024-02-22,182.70721435546875,183.29190480468338,180.81445159653885,181.82524161821627,52292200.0,AAPL,,,,,,,,,,
2024-02-23,180.87391662597656,183.37117869088894,180.58652357235425,183.3414504606763,45119700.0,AAPL,,,,,,,,,,
2024-02-26,179.5261688232422,181.11172976770854,179.02075870271764,180.59643039937333,40867400.0,AAPL,,,,,,,,,,
2024-02-27,180.98289489746094,182.2612539462515,177.94057546451762,179.4666949255866,54318900.0,AAPL,,,,,,,,,,
2024-02-28,179.7838134765625,181.46847854843006,178.50545433930714,180.8639793914523,48953900.0,AAPL,,,,,,,,,,
2024-02-29,179.11985778808594,180.92345088953732,177.9108594746495,179.63517226295397,136682600.0,AAPL,,,,,,,,,,
2024-03-01,178.03968811035156,178.90183692569335,175.78025215753124,177.93067957222544,73563100.0,AAPL,,,,,,,,,,
2024-03-04,173.52081298828125,175.30456703921072,172.22261492332544,174.56133114426578,81510100.0,AAPL,,,,,,,,,,
2024-03-05,168.5857391357422,170.48842147609815,168.09024847040442,169.21996658252752,95132400.0,AAPL,,,,,,,,,,
2024-03-06,167.59475708007812,169.69564777442116,167.1587228770791,169.5172632726602,68587700.0,AAPL,,,,,,,,,,
2024-03-07,167.475830078125,169.1902233947002,166.97043508778398,167.62447121611535,71765100.0,AAPL,,,,,,,,,,
2024-03-08,169.19021606445312,172.13343143853632,167.41636636953461,167.4758228221548,76267000.0,AAPL,,,,,,,,,,
2024-03-11,171.19203186035156,172.80733633404748,170.49834792480524,171.3803207402518,60139500.0,AAPL,,,,,,,,,,
2024-03-12,171.66766357421875,172.46045153320196,169.4676841705973,171.58838326620315,59825400.0,AAPL,,,,,,,,,,
2024-03-13,169.5866241455078,171.62804307697533,169.21995080494636,171.21183277143888,52488700.0,AAPL,,,,,,,,,,
2024-03-14,171.43975830078125,172.73794133442243,170.49832912625453,171.35057361629615,72913500.0,AAPL,,,,,,,,,,
2024-03-15,171.0631866455078,171.0631866455078,168.75419840900892,169.6262667891251,121752700.0,AAPL,,,,,,,,,,
2024-03-18,172.1532440185547,176.10726419166866,171.9550508157469,173.98656516716395,75604200.0,AAPL,,,,,,,,,,
2024-03-19,174.4919891357422,175.0172080151,171.46949314620932,172.76767622994936,55215200.0,AAPL,,,,,,,,,,
2024-03-20,177.05860900878906,177.05860900878906,173.51089450186836,174.1352174960067,53423100.0,AAPL,,,,,,,,,,
2024-03-21,169.82444763183594,175.8892630091755,169.29922879245808,175.45322885093574,106181300.0,AAPL,,,,,,,,,,
2024-03-22,170.72622680664062,171.48928650593083,168.52624750200687,170.21091238831212,71160100.0,AAPL,,,,,,,,,,
2024-03-25,169.30914306640625,170.3893089389317,167.92176032191367,169.03166954174233,54288300.0,AAPL,,,,,,,,,,
2024-03-26,168.17942810058594,169.87399750483326,168.0505957042821,168.4668059986792,57388400.0,AAPL,,,,,,,,,,
2024-03-27,171.7469482421875,172.0343412561863,168.575811446925,168.87310882923745,60273300.0,AAPL,,,,,,,,,,
2024-03-28,169.93344116210938,170.67667701496117,168.97218824939392,170.2010103030642,65672700.0,AAPL,,,,,,,,,,
2024-04-01,168.4965362548828,169.70553455748254,167.9514935576168,169.6460781034487,46240500.0,AAPL,,,,,,,,,,
2024-04-02,167.3172607421875,167.81275133793278,166.71276161053132,167.55510167176752,49329500.0,AAPL,,,,,,,,,,
2024-04-03,168.1199493408203,169.14065873561202,167.05960735256843,167.26770493028647,47691700.0,AAPL,,,,,,,,,,
2024-04-04,167.2974853515625,170.3695185848013,167.2974853515625,168.75421408193165,53704400.0,AAPL,,,,,,,,,,
2024-04-05,168.0506134033203,168.85330584999502,167.4262903353845,168.06051777285862,42104800.0,AAPL,,,,,,,,,,
2024-04-08,166.9307861328125,167.67402205960258,166.72268854116854,167.50555706407098,37425500.0,AAPL,,,,,,,,,,
2024-04-09,168.13978576660156,168.5460917055098,166.83169838821917,167.17853275073267,42373800.0,AAPL,,,,,,,,,,
2024-04-10,166.266845703125,167.56502882108228,165.60289002910008,167.27765088979615,49709300.0,AAPL,,,,,,,,,,
2024-04-11,173.4613494873047,173.87757491447604,166.64340884278624,166.8217782077108,91070300.0,AAPL,,,,,,,,,,
2024-04-12,174.95773315429688,176.75140669942581,172.63884078505302,172.68837774790788,101670900.0,AAPL,,,,,,,,,,
2024-04-15,171.13253784179688,175.03700600653332,170.94424900321735,173.7784557074799,73531800.0,AAPL,,,,,,,,,,
2024-04-16,167.8524169921875,172.1929047923956,166.75242714722782,170.20103782824683,73711200.0,AAPL,,,,,,,,,,
2024-04-17,166.48484802246094,169.11094225529814,166.48484802246094,168.08032842085646,50901200.0,AAPL,,,,,,,,,,
2024-04-18,165.5334930419922,167.11906901091456,165.0479219314042,166.51456987389489,43122900.0,AAPL,,,,,,,,,,
2024-04-19,163.51190185546875,164.89926951971245,162.6002009445124,164.7109957890585,68149400.0,AAPL,,,,,,,,,,
2024-04-22,164.3443145751953,165.75150603037284,163.28397258003716,164.0272084619306,48116400.0,AAPL,,,,,,,,,,
2024-04-23,165.39476013183594,165.54341638804536,163.43262154349364,163.85875133255257,49537800.0,AAPL,,,,,,,,,,
2024-04-24,167.4956512451172,167.77312477902248,164.71099641624178,165.03800691456527,48251800.0,AAPL,,,,,,,,,,
2024-04-25,168.35780334472656,169.07131105182287,166.63349053238153,168.0010494911784,50558300.0,AAPL,,,,,,,,,,
2024-04-26,167.7731170654297,169.79471202253325,167.6541890412428,168.3478879652858,44838400.0,AAPL,,,,,,,,,,
2024-04-29,171.9352569580078,174.44243845784558,171.5388704832316,171.8064245491769,68169400.0,AAPL,,,,,,,,,,
2024-04-30,168.79385375976562,173.41183044153803,168.46682810243752,171.76679778510277,65934800.0,AAPL,,,,,,,,,,
2024-05-01,167.7731170654297,171.15236652369296,167.58482822154218,168.05059058657778,50383100.0,AAPL,,,,,,,,,,
2024-05-02,171.46949768066406,171.85597979307556,169.34879824722077,170.95418315705703,94214900.0,AAPL,,,,,,,,,,
2024-05-03,181.7261199951172,185.31346675883958,181.01261238934663,184.96661732338913,163224100.0,AAPL,,,,,,,,,,
2024-05-06,180.0712127685547,182.53874644704828,178.79283846563771,180.70544017490002,78569700.0,AAPL,,,,,,,,,,
2024-05-07,180.75497436523438,183.23242749590466,179.68472791941784,181.79550770435065,77305800.0,AAPL,,,,,,,,,,
2024-05-08,181.0919189453125,181.4189445721307,179.81354466582562,181.20092748758523,45057100.0,AAPL,,,,,,,,,,
2024-05-09,182.9053955078125,182.99458018096053,180.46757526022824,180.9135137471405,48983000.0,AAPL,,,,,,,,,,
2024-05-10,181.6451416015625,183.669478466616,180.73220418072017,183.48093424482693,50759500.0,AAPL,,,,,,,,,,
